指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月
旅客周转量当期值(亿人公里),868.21,639.64,868.01,1097.36,1629.86,1752.43,1190.39,689.86,475.41,819.49,1487.84,1386.14
旅客周转量累计值(亿人公里),12921.42,12052.95,11413.31,10545.3,9431.42,7801.56,6049.13,4858.73,4168.87,3693.47,2873.97,1386.14
旅客周转量同比增长(%),-28,-38.1,-50.2,-34.1,37.3,-25.6,-34.5,-68.6,-77.6,-58.5,29.3,6
旅客周转量累计增长(%),-34.6,-35,-34.9,-33.2,-33.2,-39.6,-42.8,-44.5,-36.4,-16.7,16.9,6
铁路旅客周转量当期值(亿人公里),400.31,277.25,436.36,578.87,900.65,957.43,624.15,332.28,203.97,389.78,765.15,694.79
铁路旅客周转量累计值(亿人公里),6577.53,6177.22,5899.97,5463.61,4868.22,3967.57,3010.14,2385.99,2053.71,1849.73,1459.95,694.79
铁路旅客周转量同比增长(%),-26.6,-40.4,-49.5,-31.2,49.9,-24.1,-28.9,-69.1,-80.1,-58.2,46,24.9
铁路旅客周转量累计增长(%),-31.3,-31.5,-31.1,-29,-29,-36.5,-39.7,-42,-32.4,-8.1,35.1,24.9
公路旅客周转量当期值(亿人公里),158.93,160.38,188.69,215.29,236.77,251.52,220.28,166.62,148.02,191.32,236.43,233.29
公路旅客周转量累计值(亿人公里),2407.54,2248.61,2088.23,1899.53,1684.25,1447.47,1195.95,975.68,809.06,661.05,469.72,233.29
公路旅客周转量同比增长(%),-36.9,-36.2,-38.4,-24.5,-3.7,-28.9,-33.4,-54.4,-56.7,-41.2,-11.4,-23.7
公路旅客周转量累计增长(%),-33.7,-33.4,-33.2,-32.7,-33.6,-36.8,-38.2,-39.2,-34.7,-26.4,-18,-23.7
水运旅客周转量当期值(亿人公里),1.12,1.34,2.06,1.7,3.61,3.41,2.02,1.39,0.92,1.18,2.01,1.84
水运旅客周转量累计值(亿人公里),22.6,21.49,20.15,18.09,16.39,12.78,9.37,7.35,5.96,5.04,3.85,1.84
水运旅客周转量同比增长(%),-29.5,-22,-36.1,-18.3,70.2,-18.5,-36.2,-69.4,-77.9,-57,-2.3,21
水运旅客周转量累计增长(%),-31.7,-31.9,-32.4,-32,-33.1,-42.9,-48.6,-51.1,-43.2,-20.5,7.6,21
民航旅客周转量当期值(亿人公里),307.85,200.66,240.9,301.51,488.82,540.07,343.95,189.56,122.5,237.2,484.24,456.21
民航旅客周转量累计值(亿人公里),3913.75,3605.63,3404.97,3164.07,2862.56,2373.74,1833.67,1489.71,1300.15,1177.65,940.45,456.21
民航旅客周转量同比增长(%),-24.5,-36.5,-57.7,-44,44.6,-26.5,-43.2,-74.8,-83.8,-66.7,35.4,2.6
民航旅客周转量累计增长(%),-40.1,-41.1,-41.4,-39.6,-39.1,-45.6,-49.4,-50.7,-42.7,-22.2,17.2,2.6
